发表时间,类别,标题,大小,种子,下载,完成,UP主 / 代号,magnet
今天 09:53,动画,[風車字幕組十周年][名偵探柯南][980][完美犯罪指南][1080P][繁體][MP4],298MB,11,4,7,風車字幕組,magnet:?xt=urn:btih:34ed5a634f58f14c2caaced8c10d8dc96fdb529e&tr=http://open.acgtracker.com:1096/announce
今天 09:52,动画,[风车字幕组十周年][名侦探柯南][980][完美犯罪指南][1080P][简体][MP4],298.2MB,0,0,0,风车字幕组,magnet:?xt=urn:btih:5ed5c73c16d5898d25688eaf2fc06f5cdf1f2e3d&tr=http://open.acgtracker.com:1096/announce
今天 09:52,动画,[风车字幕组十周年][名侦探柯南][979][被人摆布的侦探][1080P][简体][MP4],403.6MB,0,0,0,风车字幕组,magnet:?xt=urn:btih:25a2a890799b5c80fac01ae7fe3a664d26b1e855&tr=http://open.acgtracker.com:1096/announce
今天 09:51,动画,[風車字幕組十周年][名偵探柯南][979][被人擺布的偵探][1080P][繁體][MP4],403.3MB,0,0,0,風車字幕組,magnet:?xt=urn:btih:3e860ee427abc6fde57bfdd1b86c58aafb6885df&tr=http://open.acgtracker.com:1096/announce
今天 09:51,动画,[风车字幕组十周年][名侦探柯南][978][对岸的事件][1080P][简体][MP4],375.2MB,5,1,5,风车字幕组,magnet:?xt=urn:btih:1ea0d28a583635b919b5031ef65dbbeb17e3768a&tr=http://open.acgtracker.com:1096/announce
今天 09:50,动画,[風車字幕組十周年][名偵探柯南][978][對岸的事件][1080P][繁體][MP4],375.1MB,8,2,6,風車字幕組,magnet:?xt=urn:btih:d2e80f758dbaff0451ee8aaec81929a85630ff12&tr=http://open.acgtracker.com:1096/announce
前天 16:34,动画,[風車字幕組十周年][名偵探柯南][977][破碎的金魚缸][1080P][繁體][MP4],362.1MB,12,0,8,風車字幕組,magnet:?xt=urn:btih:c0e6c6e27583ed4bd016e7e658fe657634c7093a&tr=http://open.acgtracker.com:1096/announce
前天 16:34,动画,[风车字幕组十周年][名侦探柯南][977][破碎的金鱼缸][1080P][简体][MP4],362.3MB,2,0,4,风车字幕组,magnet:?xt=urn:btih:4569f610f2de39608f975210598a87946d1ebec4&tr=http://open.acgtracker.com:1096/announce
前天 02:43,动画,[銀色子彈字幕組][名偵探柯南][第993集 代演·京極真（前篇）][繁日雙語MP4][1080P],183.8MB,145,1,30,银色子弹字幕组,magnet:?xt=urn:btih:755dd2ada23885e537f9cc3150054624cc0c6ed0&tr=http://open.acgtracker.com:1096/announce
前天 02:43,动画,[银色子弹字幕组][名侦探柯南][第993集 代演·京极真（前篇）][简日双语MP4][1080P],183.7MB,0,0,0,银色子弹字幕组,magnet:?xt=urn:btih:5bd2a1bf9227a240c8caf90ba1814763648b46c9&tr=http://open.acgtracker.com:1096/announce
