发表时间,类别,标题,大小,种子,下载,完成,UP主 / 代号,magnet
昨天 20:37,动画,[xyx98] 目隐都市的演绎者 / Mekakucity Actors /メカクシティアクターズ (BDrip 1920x1080 hevc-yuv420p10 flac 附Mekakucity V's rev),8.7GB,3,11,8,787633258,magnet:?xt=urn:btih:1d95b873ae0c6059ef97788502f1692690abe080&tr=http://open.acgtracker.com:1096/announce
昨天 19:03,动画,[千夏字幕组&LoliHouse] 放学后堤防日记 / Houkago Teibou Nisshi - 01-12 修正合集 [BDrip 1080p HEVC-10bit FLAC][简繁外挂字幕][Fin],11.8GB,0,0,0,千夏字幕组,magnet:?xt=urn:btih:45d9275b9387300580c25b4a12d118be5b4b14f2&tr=http://open.acgtracker.com:1096/announce
昨天 15:00,周边,[外挂中字][假面骑士甲斗][01-02][BDrip][1080P][官方中文],3.0GB,0,0,0,_、未来、,magnet:?xt=urn:btih:0d5058f674899f6abb0c60b397955b6ae686c422&tr=http://open.acgtracker.com:1096/announce
昨天 10:06,动画,[星空字幕组三周年] 氷菓/冰菓/Hyouka [01-23v2][BDrip][HEVC-10bit 1080P FLAC][简日双语内嵌],28.5GB,5,4,6,星空字幕组,magnet:?xt=urn:btih:0e6491814bef67ac2354b8d5d866118b2b72db35&tr=http://open.acgtracker.com:1096/announce
前天 12:06,动画,【喵萌奶茶屋】★劇場版★[劇場版 歌之王子殿下 真愛王國/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][1080p][繁日雙語][v2],3.7GB,0,0,0,喵萌奶茶屋,magnet:?xt=urn:btih:c038724978aab992c24f602fdf1730933b22c315&tr=http://open.acgtracker.com:1096/announce
前天 12:05,动画,【喵萌奶茶屋】★劇場版★[劇場版 歌之王子殿下 真愛王國/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][720p][繁日雙語][v2],2.1GB,10,2,9,喵萌奶茶屋,magnet:?xt=urn:btih:05f93deb79d6d00ca3a53203cdb695dbc36a53ec&tr=http://open.acgtracker.com:1096/announce
前天 12:05,动画,【喵萌奶茶屋】★剧场版★[剧场版 歌之王子殿下 真爱王国/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][1080p][简日双语][v2],3.7GB,6,0,5,喵萌奶茶屋,magnet:?xt=urn:btih:cf7cc8596dd135f02ad113f06b6367ac12236582&tr=http://open.acgtracker.com:1096/announce
前天 12:04,动画,【喵萌奶茶屋】★剧场版★[剧场版 歌之王子殿下 真爱王国/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][720p][简日双语][v2],2.1GB,5,0,5,喵萌奶茶屋,magnet:?xt=urn:btih:8823b33c0cd634a520a4cbeb9e48df77010b2ba8&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,【喵萌奶茶屋】★劇場版★[劇場版 歌之王子殿下 真愛王國/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][1080p][繁日雙語],3.6GB,27,1,15,喵萌奶茶屋,magnet:?xt=urn:btih:fabbf287a5c0237a094db36fd5ae82b384cd9ca0&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,【喵萌奶茶屋】★剧场版★[剧场版 歌之王子殿下 真爱王国/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][1080p][简日双语],3.6GB,6,0,5,喵萌奶茶屋,magnet:?xt=urn:btih:0318d380803e49c0184e029a196c317de8bc84e6&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,【喵萌奶茶屋】★劇場版★[劇場版 歌之王子殿下 真愛王國/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][720p][繁日雙語],1.9GB,27,0,13,喵萌奶茶屋,magnet:?xt=urn:btih:fa9492575518bf87c605537d0ed23359b9db07fb&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,【喵萌奶茶屋】★剧场版★[剧场版 歌之王子殿下 真爱王国/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][720p][简日双语],1.9GB,9,0,5,喵萌奶茶屋,magnet:?xt=urn:btih:ee6fe93c7cc4aafb92cb6fa60ceeda738fe7d078&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[桜都字幕组] 欧-巴-来洗澡 / Overflow [TV01-08 Fin][BDrip][1080p][简繁内封],1.4GB,94,3,24,桜都字幕组,magnet:?xt=urn:btih:96b74e3413ebe4ddd2bc16420bb0929d771eb7ba&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[桜都字幕組] 歐-巴-來洗澡 / Overflow [TV01-08 Fin][BDrip][BDrip][繁體內嵌],1.5GB,123,3,28,桜都字幕组,magnet:?xt=urn:btih:e75eff9e84504ceaea9e35cac9ff29ff4b442f46&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[桜都字幕组] 欧-巴-来洗澡 / Overflow [TV01-08 Fin][BDrip][BDrip][简体内嵌],1.5GB,40,0,14,桜都字幕组,magnet:?xt=urn:btih:c423291dd5f016c458bbdde6da65729d0788e41f&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[桜都字幕组] 欧-巴-来洗澡 / Overflow [TV01-08 Fin][BDrip][1080p][简体内嵌],989.4MB,25,0,9,桜都字幕组,magnet:?xt=urn:btih:89a3b211690cfb0674b5ea67eeee16a12b3978e4&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[桜都字幕組] 歐-巴-來洗澡 / Overflow [TV01-08 Fin][BDrip][1080p][繁體內嵌],989.3MB,71,0,17,桜都字幕组,magnet:?xt=urn:btih:6fd749e6ed55fadf771fc8b2995f4197abf7dfe7&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[桜都字幕組] 歐-巴-來洗澡 / Overflow [TV01-08 Fin][BDrip][720p][繁體內嵌],533.6MB,97,0,18,桜都字幕组,magnet:?xt=urn:btih:2621f210314b90ae4744705ac2bfe1e72d914319&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,[桜都字幕组] 欧-巴-来洗澡 / Overflow [TV01-08 Fin][BDrip][720p][简体内嵌],533.5MB,30,1,11,桜都字幕组,magnet:?xt=urn:btih:7595b08c84e66a2c4b1e8150552f62eaa7fe3e89&tr=http://open.acgtracker.com:1096/announce
2021/01/08,动画,【喵萌奶茶屋】★剧场版★[剧场版 歌之王子殿下 真爱王国/Uta no☆Prince-sama♪ Maji Love Kingdom Movie/劇場版 うたの☆プリンスさまっ♪ マジLOVEキングダム][BDrip][1080p][简繁日外挂],21.1GB,0,0,0,喵萌奶茶屋,magnet:?xt=urn:btih:4cfce761c43e2958c85c7aab87af1c8c318a246e&tr=http://open.acgtracker.com:1096/announce
2021/01/07,动画,【喵萌奶茶屋】★劇場版★[劇場版 白箱/Gekijouban Shirobako][BDrip][720p][繁體][招募翻譯校對],1.1GB,63,0,17,喵萌奶茶屋,magnet:?xt=urn:btih:78bffc8250d30167aca278f774a10bc986a4966b&tr=http://open.acgtracker.com:1096/announce
